"Name";"Leads";"Revenue"
"BuzzDefense Portable - US - Angle3 - 250402_08 - MR (buzzdefenseportable.com)";"0";"0.00 $"
"BuzzDefense Portable - US - Angle3 - 250402_07 - PR (buzzdefenseportable.com)";"0";"0.00 $"
"HappyBirdy - Rumble - US - CatchAll (buysmartbirdfeeder.com)";"0";"0.00 $"
"PowerStream - US - Angle1 - 250324_02 - MR (powerstreampressurewasher.com)";"0";"0.00 $"
"PowerStream - US - Angle1 - 250324_01 - PR (powerstreampressurewasher.com)";"0";"0.00 $"
"PowerStream - Rumble - US - CatchAll (powerstreampressurewasher.com)";"0";"0.00 $"
"HydroNozzle - US - Angle1 - 250322_04 - MR (hydronozzle.com)";"0";"0.00 $"
"HydroNozzle - US - Angle1 - 250322_03 - PR (hydronozzle.com)";"0";"0.00 $"
"HydroNozzle - Rumble - US - CatchAll (hydronozzle.com)";"0";"0.00 $"
"SafeCard - US - Angle1 - Desktop - 250214_01 - PR (safecardprotection.com)";"0";"0.00 $"
"SafeCard - US - Angle1 - Mobile - 250214_02 - PR (safecardprotection.com)";"0";"0.00 $"
"SafeCard - Rumble - US - CatchAll (safecardprotection.com)";"0";"0.00 $"
"BatBeam - US - Angle5 - Mobile - 250206_02 - PR (buytacticalbat.com)";"0";"0.00 $"
"BatBeam - US - Angle5 - Desktop - 250206_01 - PR (buytacticalbat.com)";"0";"0.00 $"
"Reequip - US - Angle5b - Mobile - 250131_07 - MR (buyreequip.com)";"0";"0.00 $"
"Reequip - US - Angle5b - Desktop - 250131_06 - MR (buyreequip.com)";"0";"0.00 $"
"Reequip - Rumble - US - CatchAll (buyreequip.com)";"0";"0.00 $"
"CuTium - US - Angle1 - Mobile - 250130_04 - MR (titaniumcuttingboard.co)";"0";"0.00 $"
"CuTium - US - Angle1 - Desktop - 250130_03 - MR (titaniumcuttingboard.co)";"0";"0.00 $"
"CuTium - Rumble - US - CatchAll (titaniumcuttingboard.co)";"0";"0.00 $"
"Grounded Boots - US - Angle6 - Mobile - 250130_02 - MR (buybarefootshoes.co)";"0";"0.00 $"
"Grounded Boots - US - Angle6 - Desktop - 250130_01 - MR (buybarefootshoes.co)";"0";"0.00 $"
"BatBeam - US - Angle4 - Mobile - 250120_02 - MR (buytacticalbat.com)";"0";"0.00 $"
"BatBeam - US - Angle4 - Desktop - 250110_10 - MR (buytacticalbat.com)";"0";"0.00 $"
"BatBeam - Rumble - US - CatchAll (buytacticalbat.com)";"0";"0.00 $"
"Voltex Heated Vest - US - CTV - 250109_02 (buyheatedvest.com)";"0";"0.00 $"
"Stealth Bird 4k Fiber Carbon - US - Angle5 - CTV - 241224_01 (stealthbirdcarbon.co)";"0";"0.00 $"
"Adjustable Glasses - US - Angle3a - CTV - 241223_04 (buyadjustableglasses.com)";"0";"0.00 $"
"4HandsMassager - US - Angle1a - CTV - 241223_01 (4handsmassager.co)";"0";"0.00 $"
"Grounded Boots - US - Angle4b - Desktop - 241220_04 - PR (buybarefootshoes.co)";"0";"0.00 $"
"Grounded Boots - US - Angle4b - Desktop - 241220_03 - MR (buybarefootshoes.co)";"0";"0.00 $"
"StealthBird Carbon - US - Angle5 - Mobile - 241219_07 - PR (stealthbirdcarbon.co)";"0";"0.00 $"
"StealthBird Carbon - US - Angle5 - Mobile - 241219_06 - MR (stealthbirdcarbon.co)";"0";"0.00 $"
"4HandsMassager - US - Angle1a - Mobile - 241219_05 - PR (4handsmassager.co)";"0";"0.00 $"
"4HandsMassager - US - Angle1a - Mobile - 241219_04 - MR (4handsmassager.co)";"0";"0.00 $"
"Grounded Boots - US - Angle4b - Mobile - 241219_03 - PR (buybarefootshoes.co)";"0";"0.00 $"
"Grounded Boots - US - Angle4b - Mobile - 241219_02 - MR (buybarefootshoes.co)";"0";"0.00 $"
"Stealth Bird 4k Fiber Carbon - Rumble - US - CatchAll (stealthbirdcarbon.co)";"0";"0.00 $"
"4HandsMassager - Rumble - US - CatchAll (4handsmassager.co)";"0";"0.00 $"
"Grounded Footwear Boots - Rumble - US - CatchAll (buybarefootshoes.co)";"0";"0.00 $"
"Stealth Bird 4k Fiber Carbon - Rumble - CatchAll (stealthbirdcarbon.co)";"0";"0.00 $"
"Adjustable Glasses - Rumble - US - CatchAll (buyadjustableglasses.com)";"0";"0.00 $"
