"","ID","Name","Status","CPM","Impressions","Clicks","CTR","Used / Daily Limit","Lifetime Spend / Limit","Ad Type","Conv. Count","Conv. Earnings","Actions"
"","32309","ChillWell - US - Desktop - 240702_03","Paused","10.500","188.4K","4.6K","2.4534","0.000","$1,927.94 / Unlimited","Pre-roll","19","$1,520.00",""
"","32308","BreezyComforts - US - Mobile - 240702_02","Paused","5.000","846.8K","2K","0.2345","0.000","$3,815.93 / Unlimited","Pre-roll","46","$4,140.00",""
"","32307","BreezyComforts - US - Desktop - 240702_01","Paused","10.500","297.5K","8.4K","2.8394","0.000","$2,999.48 / Unlimited","Pre-roll","25","$2,250.00",""
"","32051","ChillWell - US - Mobile - 240626_09","Paused","5.000","207.9K","509","0.2449","0.000","$1,005.07 / Unlimited","Pre-roll","16","$1,280.00",""
"","32050","ChillWell - US - Desktop - 240626_08","Paused","10.500","108.9K","2.4K","2.1887","0.000","$1,066.44 / Unlimited","Pre-roll","8","$640.00",""
"","31891","PestPulse Pro - US - Display 300x250 - 240624_02","Paused","5.000","501.3K","1.2K","0.235","0.000","$1,397.86 / Unlimited","300x250","3","$180.00",""
"","31799","TrumpLighter - US - Mobile - 240621_05","Paused","5.000","87.9K","204","0.2322","0.000","$423.45 / Unlimited","Pre-roll","7","$165.50",""
"","31798","TrumpLighter - US - Desktop - 240621_04","Paused","10.500","648K","15.3K","2.3678","0.000","$6,375.87 / Unlimited","Pre-roll","253","$7,604.47",""
"","24559","BreezyComforts - US - Mobile - 240611_11","Paused","6.000","3.3M","9.6K","0.2879","0.000","$19,166.73 / Unlimited","Pre-roll","306","$27,540.00",""
"","24558","BreezyComforts - US - Desktop - 240611_10","Paused","11.000","2M","61.2K","3.0179","0.000","$22,374.77 / Unlimited","Pre-roll","398","$35,820.00",""
"","24386","BrightGuard360 - US - Mobile - 240607_11","Paused","6.000","1.1M","3.6K","0.3344","0.000","$5,875.52 / Unlimited","Pre-roll","80","$4,769.28",""
"","24384","BrightGuard360 - US - Desktop - 240607_10","Paused","10.500","174.3K","4.9K","2.8058","0.000","$1,810.83 / Unlimited","Pre-roll","15","$771.66",""
"","24380","SpinView Pro - CA - Desktop - 240607_08","Paused","12.000","228.5K","7.3K","3.1903","0.000","$1,596.43 / Unlimited","Pre-roll","36","$1,440.00",""
"","24379","SpinView Pro - CA - Mobile - 240607_09","Paused","5.000","273.9K","599","0.2187","0.000","$1,147.32 / Unlimited","Pre-roll","22","$880.00",""
"","24377","SpinView Pro - US - Mobile - 240607_07","Paused","5.000","669.5K","2K","0.3045","0.000","$3,301.81 / Unlimited","Pre-roll","94","$3,760.00",""
"","24358","SpinView Pro - US - Desktop - 240607_06","Paused","10.500","768.6K","36.4K","4.7367","0.000","$7,915.81 / Unlimited","Pre-roll","255","$10,200.00",""
"","24271","BuzzDefense Portable - US - Desktop - 240606_06 - Angle3","Paused","10.500","208.2K","5.9K","2.8162","0.000","$2,159.30 / Unlimited","Pre-roll","34","$1,391.43",""
"","24270","BuzzDefense Portable - US - Mobile - 240606_07 - Angle3","Paused","5.000","477.1K","1.2K","0.2611","0.000","$2,368.39 / Unlimited","Pre-roll","42","$1,794.61",""
"","24269","PestPulsePro - US - Mobile - 240606_05","Paused","5.000","294K","577","0.1962","0.000","$1,459.29 / Unlimited","Pre-roll","18","$1,080.00",""
"","24266","PestPulsePro - US - Desktop - 240606_04","Paused","10.500","513K","17.3K","3.3717","0.000","$5,277.42 / Unlimited","Pre-roll","76","$4,560.00",""
"","22050","LifeHammer - DE - Desktop - 240510_03","Paused","10.500","37.9K","1.8K","4.6475","0.000","$349.56 / Unlimited","Pre-roll","5","$200.00",""
"","21900","Logic Media May 9th Test (10am-3am)","Paused","0","285K","3.2K","1.1198","0.000","$2,279.71 / Unlimited","Pre-roll","56","$2,520.00",""
"","21877","Auto Air Pump - US - Desktop - 240508_03","Paused","10.500","422.6K","11.9K","2.8166","0.000","$4,357.37 / Unlimited","Pre-roll","58","$4,350.00",""
"","21876","SkyHawk Drone - US - Desktop - 240508_02","Paused","10.500","191.7K","5K","2.5922","0.000","$1,977.33 / Unlimited","Pre-roll","18","$1,530.00",""
