"","ID","Name","Status","CPM","Impressions","Clicks","CTR","Used / Daily Limit","Lifetime Spend / Limit","Ad Type","Conv. Count","Conv. Earnings","Actions"
"","54202","VacTonic - US - Angle2 - 250731_08 - MR","Active","5.500","247.3K","5.6K","2.2566","7.190","$1,411.21 / Unlimited","Mid-Roll","11","$1,225.00",""
"","54201","VacTonic - US - Angle1 - 250731_07 - MR","Active","5.500","96.3K","3.2K","3.3082","7.160","$497.85 / Unlimited","Mid-Roll","1","$110.00",""
"","54200","BreezaMax - US - Angle4 - 250731_06 - PR","Paused","3.500","36.1K","282","0.7809","0.000","$125.89 / Unlimited","Pre-roll","0","$0.00",""
"","54199","BreezaMax - US - Angle4 - 250731_05 - MR","Paused","5.000","50.7K","2.7K","5.2422","0.000","$253.35 / Unlimited","Mid-Roll","0","$0.00",""
"","54197","AquaVital - US - Angle2 - 250731_04 - PR","Active","4.000","114.1K","891","0.7812","5.670","$452.87 / Unlimited","Pre-roll","5","$225.00",""
"","54196","AquaVital - US - Angle2 - 250731_03 - MR","Active","5.500","152.3K","4K","2.6147","7.030","$843.78 / Unlimited","Mid-Roll","14","$630.00",""
"","54188","Vital Wrist Ball - US - Angle2 - 250731_02 - MR","Active","5.500","96.2K","3.2K","3.3377","7.310","$497.14 / Unlimited","Mid-Roll","3","$255.00",""
"","54187","Vital Wrist Ball - US - Angle1 - 250731_01 - MR","Active","5.500","96.4K","3.2K","3.3368","7.080","$498.65 / Unlimited","Mid-Roll","5","$425.00",""
"","54129","Tactical Windshield Tool - US - Angle2 - 250730_08 - MR","Active","5.500","223.6K","6.2K","2.7721","6.770","$1,225.15 / Unlimited","Mid-Roll","32","$960.00",""
"","54127","Tactical Windshield Tool - US - Angle1 - 250730_07 - MR","Active","5.500","117.4K","4.3K","3.6777","7.220","$599.33 / Unlimited","Mid-Roll","12","$360.00",""
"","53999","LumoraBeam - US - Angle2 - 250728_05 - MR","Active","5.500","277.2K","8.8K","3.1614","13.420","$1,484.81 / Unlimited","Mid-Roll","18","$1,620.00",""
"","53998","LumoraBeam - US - Angle1 - 250728_04 - MR","Active","5.500","415.3K","10.2K","2.4452","13.420","$2,312.10 / Unlimited","Mid-Roll","32","$2,880.00",""
"","53996","Ruck&Recon Gloves - US - Angle4  - 250728_03 - TS","Active","10.000","0","0","0","0.000","$0.00 / Unlimited","Autoplay","0","$0.00",""
"","53995","Ruck&Recon Gloves - US - Angle4  - 250728_02 - MR","Active","5.500","375.2K","10.2K","2.7217","7.190","$2,115.55 / Unlimited","Mid-Roll","50","$2,500.00",""
"","53994","Ruck&Recon Gloves - US - Angle4  - 250728_01 - PR","Active","4.000","257.9K","2.3K","0.8793","5.830","$986.28 / Unlimited","Pre-roll","13","$650.00",""
"","51854","BuzzDefense Portable - US - Angle8.1 - 250623_01 - PR","Paused","3.500","602.5K","5K","0.8273","0.000","$2,087.21 / Unlimited","Pre-roll","24","$1,320.00",""
"","51721","AmpliHear - US - Angle5 - 250620_04 - PR","Paused","3.500","102.5K","1K","0.9948","0.000","$333.78 / Unlimited","Pre-roll","0","$0.00",""
"","51720","AmpliHear - US - Angle4 - 250620_03 - PR","Paused","3.500","102.4K","971","0.9481","0.000","$333.91 / Unlimited","Pre-roll","4","$360.00",""
"","51719","AmpliHear - US - Angle3 - 250620_02 - PR","Paused","3.500","102.4K","989","0.9661","0.000","$333.43 / Unlimited","Pre-roll","1","$90.00",""
"","51718","Power Saver Pro - US - Angle3 - 250620_01 - PR","Paused","3.500","330.3K","3.1K","0.9469","0.000","$1,124.53 / Unlimited","Pre-roll","8","$560.00",""
"","51456","BreezeBox - US - Angle3.3 - 250616_01 - PR","Paused","3.500","2.7M","26.2K","0.9807","0.000","$8,843.77 / Unlimited","Pre-roll","195","$12,480.00",""
"","51236","AmpliHear - US - Angle2 - 250611_04 - PR","Paused","3.500","360.7K","2.4K","0.6734","0.000","$1,096.38 / Unlimited","Pre-roll","9","$810.00",""
"","51235","AmpliHear - US - Angle2 - 250611_03 - MR","Paused","5.000","311.8K","944","0.3028","0.000","$1,484.60 / Unlimited","Mid-Roll","12","$1,080.00",""
"","51171","BreezeBox - US - Angle3.3 - 250610_01 - MR","Paused","5.500","2.3M","12K","0.5217","0.000","$10,528.14 / Unlimited","Mid-Roll","253","$16,192.00",""
"","50855","Power Saver Pro - US - Angle4 - 250603_02 - PR","Paused","3.500","2.9M","21.6K","0.7464","0.000","$9,753.58 / Unlimited","Pre-roll","159","$11,130.00",""
"","50854","Power Saver Pro - US - Angle4 - 250603_01 - MR","Paused","5.000","245.8K","989","0.4024","0.000","$1,203.05 / Unlimited","Mid-Roll","12","$840.00",""
"","50470","Ergo Z Pillow - US - Angle2 - 250526_03 - MR","Paused","6.000","53.6K","255","0.4756","0.000","$311.07 / Unlimited","Mid-Roll","2","$170.00",""
"","50469","Ergo Z Pillow - US - Angle2 - 250526_02 - PR","Paused","3.000","103.7K","1K","1.0019","0.000","$301.09 / Unlimited","Pre-roll","1","$85.00",""
"","50226","BuzzDefense Portable - US - Angle7 - 250521_05 - PR NewsMax","Paused","5.010","3.1K","1","0.0319","0.000","$15.71 / Unlimited","Pre-roll","0","$0.00",""
"","50225","BuzzDefense Portable - US - Angle5 - 250521_04 - PR NewsMax","Paused","6.500","1","0","0","0.000","$0.01 / Unlimited","Pre-roll","0","$0.00",""
"","50224","Radar Shield Pro - US - Angle1 - 250521_03 - PR NewsMax","Paused","5.010","2.4K","0","0","0.000","$12.15 / Unlimited","Pre-roll","0","$0.00",""
"","50223","Polar Cooling - US - Angle3.1 - 250521_02 - PR NewsMax","Paused","6.500","1","0","0","0.000","$0.01 / Unlimited","Pre-roll","0","$0.00",""
"","50222","TitanCut Pro - US - 250521_01 - PR NewsMax","Paused","5.010","2.5K","6","0.2397","0.000","$12.54 / Unlimited","Pre-roll","0","$0.00",""
"","50057","TitanCut Pro - US - 250519_05 - MR","Paused","5.500","2.3M","13.5K","0.5929","0.000","$11,922.82 / Unlimited","Mid-Roll","306","$18,360.00",""
"","50056","TitanCut Pro - US - 250519_04 - PR","Paused","3.000","303.1K","3.5K","1.1493","0.000","$897.44 / Unlimited","Pre-roll","17","$1,020.00",""
"","50055","Polar Cooling - US - Angle3.1 - 250519_03 - MR","Paused","5.000","286.5K","1.5K","0.5312","0.000","$1,322.13 / Unlimited","Mid-Roll","19","$1,216.00",""
"","50054","Polar Cooling - US - Angle3.1 - 250519_02 - PR","Paused","3.000","506.3K","5.9K","1.1683","0.000","$1,349.08 / Unlimited","Pre-roll","17","$1,088.00",""
"","49982","Radar Shield Pro - US - Angle1 - 250516_06 - MR","Paused","5.000","805.8K","3.1K","0.383","0.000","$3,809.96 / Unlimited","Mid-Roll","45","$2,913.00",""
"","49981","Radar Shield Pro - US - Angle1 - 250516_05 - PR","Paused","3.000","731.4K","6.7K","0.9199","0.000","$2,152.93 / Unlimited","Pre-roll","22","$1,388.00",""
"","49944","BuzzDefense Portable - US - Angle7 - 250515_10 - MR","Paused","5.000","980.5K","5K","0.51","0.000","$4,721.85 / Unlimited","Mid-Roll","102","$5,105.00",""
"","49943","BuzzDefense Portable - US - Angle7 - 250515_09 - PR","Paused","3.500","6.3M","46.1K","0.7371","0.000","$20,348.27 / Unlimited","Pre-roll","510","$26,380.00",""
"","49942","BuzzDefense Portable - US - Angle4 - 250515_08 - PR","Paused","3.000","30.6K","229","0.7481","0.000","$87.50 / Unlimited","Pre-roll","1","$50.00",""
"","49940","BuzzDefense Portable - US - Angle4 - 250515_07 - MR","Paused","6.000","16.7K","108","0.6479","0.000","$95.80 / Unlimited","Mid-Roll","2","$100.00",""
"","49350","BuzzDefense Portable - US - Angle5 - 250502_05 - MR","Paused","5.500","2.1M","18.6K","0.8736","0.000","$11,674.31 / Unlimited","Mid-Roll","294","$14,700.00",""
"","49349","BuzzDefense Portable - US - Angle5 - 250502_04 - PR","Paused","3.000","1.6M","15.7K","1.0107","0.000","$5,597.41 / Unlimited","Pre-roll","115","$5,755.00",""
"","47854","SolarSplash - US - 250404_08 - MR","Paused","5.000","135.9K","1.3K","0.9703","0.000","$710.26 / Unlimited","Mid-Roll","9","$405.00",""
"","47853","SolarSplash - US - 250404_07 - PR","Paused","6.000","52.4K","638","1.2166","0.000","$307.80 / Unlimited","Pre-roll","2","$90.00",""
"","47836","Wood Ranger Power Shears - US - 250404_04 - MR","Paused","6.000","303.1K","2.4K","0.8054","0.000","$1,706.81 / Unlimited","Mid-Roll","17","$1,360.00",""
"","47835","Wood Ranger Power Shears - US - 250404_03 - PR","Paused","5.000","440.6K","3.8K","0.8532","0.000","$2,146.73 / Unlimited","Pre-roll","28","$2,240.00",""
"","47725","HappyBirdy - US - 250402_10 - MR","Paused","5.000","131K","435","0.3319","0.000","$607.06 / Unlimited","Mid-Roll","2","$170.00",""
"","47724","HappyBirdy - US - 250402_09 - PR","Paused","4.000","155.7K","1K","0.6437","0.000","$568.63 / Unlimited","Pre-roll","0","$0.00",""
"","47720","BuzzDefense Portable - US - Angle3 - 250402_08 - MR","Paused","6.000","305.1K","4.5K","1.4644","0.000","$1,756.67 / Unlimited","Mid-Roll","31","$1,647.94",""
"","47719","BuzzDefense Portable - US - Angle3 - 250402_07 - PR","Paused","5.000","250.9K","3.2K","1.2744","0.000","$1,233.33 / Unlimited","Pre-roll","22","$1,038.33",""
"","47150","PowerStream - US - Angle1 - 250324_02 - MR","Paused","4.000","846.2K","6.5K","0.7719","0.000","$4,614.22 / Unlimited","Mid-Roll","55","$4,675.00",""
"","47148","PowerStream - US - Angle1 - 250324_01 - PR","Paused","6.000","1.8M","26.4K","1.4776","0.000","$9,898.67 / Unlimited","Pre-roll","151","$12,835.00",""
"","47049","HydroNozzle - US - Angle1 - 250322_04 - MR","Paused","6.000","328.2K","3.2K","0.9646","0.000","$1,910.47 / Unlimited","Mid-Roll","47","$1,931.91",""
"","47048","HydroNozzle - US - Angle1 - 250322_03 - PR","Paused","5.000","380.2K","6.6K","1.7295","0.000","$1,840.96 / Unlimited","Pre-roll","56","$1,989.47",""
"","44918","SafeCard - US - Angle1 - Desktop - 250214_01 - PR","Paused","10.500","243.7K","4.4K","1.7944","0.000","$2,209.86 / Unlimited","Pre-roll","35","$1,680.00",""
"","44917","SafeCard - US - Angle1 - Mobile - 250214_02 - PR","Paused","5.500","618.6K","2.7K","0.4319","0.000","$3,241.35 / Unlimited","Pre-roll","62","$2,976.00",""
"","44378","BatBeam - US - Angle5 - Mobile - 250206_02 - PR","Paused","5.000","58.8K","287","0.4877","0.000","$282.41 / Unlimited","Pre-roll","0","$0.00",""
"","44377","BatBeam - US - Angle5 - Desktop - 250206_01 - PR","Paused","10.000","46.4K","652","1.406","0.000","$405.55 / Unlimited","Pre-roll","2","$120.00",""
"","44111","Reequip - US - Angle5b - Mobile - 250131_07 - MR","Paused","5.500","220.8K","643","0.2912","0.000","$1,209.56 / Unlimited","Mid-Roll","8","$600.00",""
"","44110","Reequip - US - Angle5b - Desktop - 250131_06 - MR","Paused","10.500","116.6K","2.5K","2.1184","0.000","$1,199.94 / Unlimited","Mid-Roll","13","$975.00",""
"","43984","CuTium - US - Angle1 - Mobile - 250130_04 - MR","Paused","5.000","1.3M","5.9K","0.4662","0.000","$6,413.62 / Unlimited","Mid-Roll","109","$7,085.00",""
"","43983","CuTium - US - Angle1 - Desktop - 250130_03 - MR","Paused","10.500","354.4K","8.7K","2.4439","0.000","$3,460.22 / Unlimited","Mid-Roll","54","$3,510.00",""
"","43982","Grounded Boots - US - Angle6 - Mobile - 250130_02 - MR","Paused","5.000","258.4K","954","0.3692","0.000","$1,393.31 / Unlimited","Mid-Roll","2","$164.00",""
"","43981","Grounded Boots - US - Angle6 - Desktop - 250130_01 - MR","Paused","11.000","271.6K","7K","2.56","0.000","$2,718.41 / Unlimited","Mid-Roll","29","$2,378.00",""
"","43456","BatBeam - US - Angle4 - Mobile - 250120_02 - MR","Paused","6.000","737.6K","2.3K","0.3068","0.000","$4,181.66 / Unlimited","Mid-Roll","57","$3,320.00",""
"","42970","BatBeam - US - Angle4 - Desktop - 250110_10 - MR","Paused","10.500","1.1M","26.5K","2.4706","0.000","$10,158.55 / Unlimited","Mid-Roll","231","$13,160.00",""
"","42813","Voltex Heated Vest - US - CTV - Angle1b - 250109_02","Paused","3.000","177.1K","5","0.0028","0.000","$364.98 / Unlimited","CTV","0","$0.00",""
"","42230","Stealth Bird 4k Fiber Carbon - US - Angle5 - CTV - 241224_01","Paused","3.000","1.1M","10","0.0009","0.000","$2,275.79 / Unlimited","CTV","0","$0.00",""
"","42200","Adjustable Glasses - US - Angle3a - CTV - 241223_04","Paused","3.000","471K","5","0.0011","0.000","$1,161.45 / Unlimited","CTV","0","$0.00",""
"","42194","4HandsMassager - US - Angle1a - CTV - 241223_01","Paused","3.000","264.5K","10","0.0038","0.000","$966.18 / Unlimited","CTV","0","$0.00",""
"","42104","Grounded Boots - US - Angle4b - Desktop - 241220_04 - PR","Paused","11.000","104.8K","712","0.6791","0.000","$1,001.48 / Unlimited","Pre-roll","5","$410.00",""
"","42103","Grounded Boots - US - Angle4b - Desktop - 241220_03 - MR","Paused","11.000","149.8K","841","0.5614","0.000","$1,294.13 / Unlimited","Mid-Roll","7","$574.00",""
"","42031","StealthBird Carbon - US - Angle5 - Mobile - 241219_07 - PR","Paused","6.000","117.1K","418","0.3571","0.000","$698.37 / Unlimited","Pre-roll","5","$485.00",""
"","42030","StealthBird Carbon - US - Angle5 - Mobile - 241219_06 - MR","Paused","6.000","436.7K","1.2K","0.2666","0.000","$2,567.86 / Unlimited","Mid-Roll","19","$1,855.00",""
"","42027","4HandsMassager - US - Angle1a - Mobile - 241219_05 - PR","Paused","6.000","517.6K","2.4K","0.4618","0.000","$3,056.93 / Unlimited","Pre-roll","41","$2,542.00",""
"","42026","4HandsMassager - US - Angle1a - Mobile - 241219_04 - MR","Paused","6.000","689.3K","2.5K","0.365","0.000","$4,025.16 / Unlimited","Mid-Roll","66","$4,092.00",""
"","42015","Grounded Boots - US - Angle4b - Mobile - 241219_03 - PR","Paused","6.000","514.5K","2.4K","0.4757","0.000","$3,026.96 / Unlimited","Pre-roll","31","$2,542.00",""
"","42014","Grounded Boots - US - Angle4b - Mobile - 241219_02 - MR","Paused","6.000","68.9K","254","0.3684","0.000","$400.57 / Unlimited","Mid-Roll","0","$0.00",""
"","41009","Voltex Heated Scarf - US - Mobile - 241129_02 - MR","Paused","6.000","119.8K","372","0.3106","0.000","$710.27 / Unlimited","Mid-Roll","7","$346.00",""
"","41007","BlissHeatV2 - US - Mobile - 241129_01 - MR","Paused","6.000","625.8K","1.8K","0.2894","0.000","$3,642.34 / Unlimited","Mid-Roll","49","$3,185.00",""
"","40276","HeatVortex - US - Angle5 - Desktop - 241116_01 - MR","Paused","11.000","428.6K","9.9K","2.3145","0.000","$4,504.59 / Unlimited","Mid-Roll","79","$4,098.67",""
"","40275","HeatVortex - US - Angle5 - Mobile - 241116_02 - MR","Paused","6.000","396.9K","1.2K","0.2953","0.000","$2,297.98 / Unlimited","Mid-Roll","34","$1,850.75",""
"","39928","HeatVortex - US - Angle1b - Mobile - 241108_04 - MR","Paused","6.000","174.7K","678","0.3882","0.000","$998.01 / Unlimited","Mid-Roll","11","$662.95",""
"","39927","HeatVortex - US - Angle1b - Desktop - 241108_03 - MR","Paused","11.000","66.6K","1.6K","2.3583","0.000","$715.74 / Unlimited","Mid-Roll","7","$284.04",""
"","39465","Vital Health Ring - US - Angle2 - Mobile - 241101_02 - MR","Paused","6.000","203.7K","664","0.326","0.000","$1,189.57 / Unlimited","Mid-Roll","8","$480.00",""
"","39464","Vital Health Ring - US - Angle2 - Desktop - 241101_01 - MR","Paused","10.500","100.5K","2.3K","2.2819","0.000","$1,020.57 / Unlimited","Mid-Roll","4","$240.00",""
"","39068","Voltex Heated Vest - US - Mobile - 241025_09 - MR","Paused","5.000","2M","8.9K","0.4548","0.000","$9,616.06 / Unlimited","Mid-Roll","142","$9,624.00",""
"","39067","Voltex Heated Vest - US - Desktop - 241025_08 - MR","Paused","10.500","1.2M","34.4K","2.7771","0.000","$12,205.98 / Unlimited","Mid-Roll","213","$14,478.00",""
"","39066","H2Next - US - Angle1 - Mobile - 241025_07 - MR","Paused","7.000","401.2K","9.7K","2.4215","0.000","$2,446.32 / Unlimited","Mid-Roll","35","$2,314.00",""
"","39065","H2Next - US - Angle1 - Desktop - 241025_06 - MR","Paused","10.500","650.1K","17.5K","2.6956","0.000","$6,547.04 / Unlimited","Mid-Roll","103","$6,947.00",""
"","39064","HeatVortex - US - Angle3 - Desktop - 241025_04 - MR","Paused","10.500","660.4K","15.4K","2.3308","0.000","$6,511.44 / Unlimited","Mid-Roll","115","$6,134.03",""
"","39063","HeatVortex - US - Angle3 - Mobile - 241025_05 - MR","Paused","5.000","1.5M","6.5K","0.4204","0.000","$7,513.04 / Unlimited","Mid-Roll","133","$7,503.39",""
"","38955","Vital Health Ring - US - Angle1 - Desktop - 241023_12 - MR","Paused","10.500","37.1K","911","2.4531","0.000","$368.75 / Unlimited","Mid-Roll","1","$60.00",""
"","38954","Vital Health Ring - US - Angle1 - Mobile - 241023_13 - MR","Paused","5.000","74.8K","214","0.2861","0.000","$367.79 / Unlimited","Mid-Roll","0","$0.00",""
"","38931","HeatVortex - US - Angle4 - Mobile - 241023_11 - MR","Paused","5.000","1.1M","3.1K","0.281","0.000","$5,343.83 / Unlimited","Mid-Roll","83","$4,522.83",""
"","38930","HeatVortex - US - Angle4 - Desktop - 241023_10 - MR","Paused","10.500","394.7K","8.7K","2.2107","0.000","$4,026.99 / Unlimited","Mid-Roll","61","$3,061.04",""
"","38927","Grounded Footwear - US - Angle4b - Mobile - 241023_09 - MR","Paused","6.000","2.4M","10.3K","0.422","0.000","$12,450.09 / Unlimited","Mid-Roll","305","$15,446.00",""
"","38926","Grounded Footwear - US - Angle4b - Desktop - 241023_08 - MR","Paused","12.500","667.5K","19.8K","2.9677","0.000","$7,264.34 / Unlimited","Mid-Roll","164","$9,326.00",""
"","38868","Herz P1 Smart Ring - US - Mobile - 241022_02 - MR","Paused","5.000","17.8K","53","0.2972","0.000","$87.26 / Unlimited","Mid-Roll","0","$0.00",""
"","38867","Herz P1 Smart Ring - US - Desktop - 241022_01 - MR","Paused","10.500","9.2K","228","2.4657","0.000","$87.84 / Unlimited","Mid-Roll","1","$68.00",""
