28/07 - 03/08,,,,,,,
ACCOUNT NAME,CAMPAIGN NAME,TOTAL SPEND,REVENUE,P/L,ROI,ROI Last Week,SALES
Vital Wrist Ball,Vital Wrist Ball - DG - US - 250722_27 - Angle2 (buy-vitalwristball.com),$132.41,$85.00,-$47.41,-35.81%,-67.34%,1
Vital Wrist Ball,Vital Wrist Ball - DG - US - 250722_28 - Angle2 - QR (buy-vitalwristball.com),$706.41,$935.00,$228.59,32.36%,9.67%,11
Vital Wrist Ball,Account summary,$838.82,"$1,105.00",$266.18,31.73%,-9.43%,
,,,,,,,
VitalBreeze AC,VitalBreeze AC - DG - US - 250615_03 - Angle3.1 (lctc) (getvitalbreeze.com),"$4,315.87","$3,770.00",-$545.87,-12.65%,-25.09%,58
VitalBreeze AC,VitalBreeze AC - Fallback - CatchAll (getvitalbreeze.com),$0.00,$195.00,$195.00,,,3
VitalBreeze AC,VitalBreeze AC - SEA - US - 250602_02 (getvitalbreeze.com),$14.69,$0.00,-$14.69,-100.00%,-100.00%,
VitalBreeze AC,Account summary,"$4,330.56","$3,965.00",-$365.56,-8.44%,-25.25%,
,,,,,,,
,SUMMARY,"$54,756.56","$49,971.00",-$4785.56,-8.74%,1.21%,
,,.,,,,,
