"Name";"Leads";"Revenue"
"TitanCut Pro - Fallback - CatchAll (titancutpro.co)";"1";"60.00 $"
"BuzzDefense Portable - DG - US - 250511_01 - Angle7 (buzzdefenseportable.com)";"1";"55.00 $"
"LB Lighter - DG - US - 250722_14 - Angle5 - QR (luxblazelighter.com)";"1";"54.00 $"
"Protective Card - Fallback - CatchAll (protectivecard.com)";"1";"47.00 $"
"HydroNozzle - DG - US - 250624_01 - Angle1 (lctc) (hydronozzle.com)";"1";"36.00 $"
"HydroNozzle - DG - US - 250613_01 - Angle1 (LCTC 25+) (hydronozzle.com)";"1";"36.00 $"
"Odin EMF Blocker - DG - US - 250809_04 - Angle2 - QR (buyemfblocker.com)";"0";"0.00 $"
"Odin EMF Blocker - DG - US - 250809_03 - Angle1 - QR (buyemfblocker.com)";"0";"0.00 $"
"Wood Ranger Hedge Trimmer - DG - US - 250809_02 - Angle1 - QR (buyhedgetrimmer.com)";"0";"0.00 $"
"Barefoot Shoes - DG - US - 250809_01 - Angle4b - QR (experiencegroundedfootwear.com)";"0";"0.00 $"
"ClipDocMax - DG - US - 250808_04 - Angle3 (hctc) - QR (buyclipdocmax.com)";"0";"0.00 $"
"ClipDocMax - DG - US - 250808_03 - Angle2 (hctc) - QR (buyclipdocmax.com)";"0";"0.00 $"
"Vital Wrist Ball - DG - US - 250808_02 - Angle2 (lctc) - QR (buy-vitalwristball.com)";"0";"0.00 $"
"Vital Wrist Ball - DG - US - 250808_01 - Angle1 (lctc) - QR (buy-vitalwristball.com)";"0";"0.00 $"
"Glokore Therapy Wraps - DG - US - 250806_04 - Angle2 - QR (redlighttherapywraps.com)";"0";"0.00 $"
"Glokore Therapy Wraps - DG - US - 250806_03 - Angle1 - QR (redlighttherapywraps.com)";"0";"0.00 $"
"Glokore Therapy Wraps - DG - US - 250806_02 - Angle2 (redlighttherapywraps.com)";"0";"0.00 $"
"Glokore Therapy Wraps - DG - US - 250806_01 - Angle1 (redlighttherapywraps.com)";"0";"0.00 $"
"Glokore Therapy Wraps - DG - US - 250802_06 - Angle2 - QR (redlighttherapywraps.com)";"0";"0.00 $"
"Glokore Therapy Wraps - DG - US - 250802_04 - Angle2 (redlighttherapywraps.com)";"0";"0.00 $"
"Glokore Therapy Wraps - DG - US - 250802_03 - Angle1 (redlighttherapywraps.com)";"0";"0.00 $"
"Glokore Therapy Wraps - Fallback - Homepage redirect (redlighttherapywraps.com)";"0";"0.00 $"
"Ready Walker - Fallback - Homepage redirect (buyreadywalker.com)";"0";"0.00 $"
"Odin EMF Blocker - Fallback - Homepage redirect (buyemfblocker.com)";"0";"0.00 $"
"Wood Ranger Hedge Trimmer - Fallback - Homepage redirect (buyhedgetrimmer.com)";"0";"0.00 $"
"AquaVital - DG - US - 250730_06 - Angle3 - QR (theaquavitalfilter.com)";"0";"0.00 $"
"AquaVital - DG - US - 250730_05 - Angle3 (theaquavitalfilter.com)";"0";"0.00 $"
"BreezaMax - DG - DE - 250730_04 - Angle5 - QR (breezamax.com)";"0";"0.00 $"
"BreezaMax - DG - AT - 250730_02 - Angle5 - QR (breezamax.com)";"0";"0.00 $"
"BreezaMax - DG - AT - 250730_01 - Angle5 (breezamax.com)";"0";"0.00 $"
"LumoraBeam -  DG - US - 250729_02 - Angle2 - QR (nailfungussolution.com)";"0";"0.00 $"
"LumoraBeam -  DG - US - 250729_01 - Angle2 (nailfungussolution.com)";"0";"0.00 $"
"AquaVital - Fallback - Homepage redirect (theaquavitalfilter.com)";"0";"0.00 $"
"BreezaMax - DG - UK - 250726_06 - Angle5 - QR (breezamax.com)";"0";"0.00 $"
"BreezaMax - DG - UK - 250726_03 - Angle4 (breezamax.com)";"0";"0.00 $"
"BreezaMax - DG - US - 250726_02 - Angle5 - QR (breezamax.com)";"0";"0.00 $"
"Tactical Windshield Tool - DG - US - 250722_26 - Angle2 - QR (buy-tacticalwindshieldtool.com)";"0";"0.00 $"
"LB Lighter - DG - US - 250722_13 - Angle5 (luxblazelighter.com)";"0";"0.00 $"
"BuzzDefense Portable - DG - US - 250722_06 - Angle5 - QR (buzzdefenseportable.com)";"0";"0.00 $"
"BreezaMax - DG - US - 250718_05 - Angle5 (breezamax.com)";"0";"0.00 $"
"LumoraBeam -  DG - US - 250718_04 - Angle2 (nailfungussolution.com)";"0";"0.00 $"
"LumoraBeam -  DG - US - 250718_03 - Angle1 (nailfungussolution.com)";"0";"0.00 $"
"VacTonic - DG - US - 250718_02 - Angle2 (buyvactonic.com)";"0";"0.00 $"
"VacTonic - DG - US - 250718_01 - Angle1 (buyvactonic.com)";"0";"0.00 $"
"VacTonic - Fallback - Homepage redirect (buyvactonic.com)";"0";"0.00 $"
"BreezaMax - DG - US - 250716_01 - Angle4 (breezamax.com)";"0";"0.00 $"
"Vital Wrist Ball - DG - US - 250714_01 - Angle2 - I1V1B1(buy-vitalwristball.com)";"0";"0.00 $"
"Tactical Windshield Tool - DG - US - 250712_03 - Angle2 (buy-tacticalwindshieldtool.com)";"0";"0.00 $"
"Tactical Windshield Tool - DG - US - 250712_02 - Angle1 (buy-tacticalwindshieldtool.com)";"0";"0.00 $"
"GlacierBreeze - DG - US - 250712_01 - Angle5 (buyglacierbreeze.com)";"0";"0.00 $"
"JetPro Max - DG - AT/CH/DE - 250711_01 - Angle1 (buyjetpromax.com)";"0";"0.00 $"
"JetPro Max - DG - UK - 250710_03 - Angle1 (buyjetpromax.com)";"0";"0.00 $"
"JetPro Max - DG - US - 250710_02 - Angle1 (buyjetpromax.com)";"0";"0.00 $"
"GlacierBreeze - DG - US - 250710_01 - Angle3.3 (buyglacierbreeze.com)";"0";"0.00 $"
"Power Saver Pro - DG - US - 250709_04 - Angle3 (buypowersaverpro.com)";"0";"0.00 $"
"Tactical Windshield Tool - Fallback - Homepage redirect (buy-tacticalwindshieldtool.com)";"0";"0.00 $"
"JetPro Max - Fallback - Homepage redirect (buyjetpromax.com)";"0";"0.00 $"
"GlacierBreeze - Fallback - Homepage redirect (buyglacierbreeze.com)";"0";"0.00 $"
"Ruck&Recon Gloves - DG - US - 250709_03 - Angle4 (lctc) (buytacticalgloves.com)";"0";"0.00 $"
"VitalBreeze AC - DG - US - 250709_02 - Angle3.1 (lctc) (getvitalbreeze.com)";"0";"0.00 $"
"Barefoot Shoes - DG - US - 250709_01 - Angle4b (experiencegroundedfootwear.com)";"0";"0.00 $"
"BreezyAC - DG - US - 250704_03 - Angle5 (getbreezyac.com)";"0";"0.00 $"
"BreezyAC - DG - US - 250704_02 - Angle4 (getbreezyac.com)";"0";"0.00 $"
"Vital Wrist Ball - DG - US - 250703_03 - Angle1 (buy-vitalwristball.com)";"0";"0.00 $"
"SolarSplash - DG - US - 250703_02 - Angle2b (solarsplash.co)";"0";"0.00 $"
"SolarSplash - DG - US - 250703_01 - Angle1 (solarsplash.co)";"0";"0.00 $"
"Vital Wrist Ball - Fallback - Homepage redirect (buy-vitalwristball.com)";"0";"0.00 $"
"PPPZap - DG - US - 250627_03 - Angle10 (buy-pestpulsepro.com)";"0";"0.00 $"
"PPPZap - DG - US - 250627_02 - Angle9 (buy-pestpulsepro.com)";"0";"0.00 $"
"Ruck&Recon Gloves - DG - US - 250627_01 - Angle4 (buytacticalgloves.com)";"0";"0.00 $"
"LB Lighter - DG - US - 250626_01 - Angle5 (luxblazelighter.com)";"0";"0.00 $"
"PPPZap - Fallback - Homepage redirect (buy-pestpulsepro.com)";"0";"0.00 $"
"BB Cooling - DG - US - 250625_04 - Angle3.3 (breezeboxcooling.com)";"0";"0.00 $"
"LB Lighter - Fallback - Homepage redirect (luxblazelighter.com)";"0";"0.00 $"
"BreezyAC - DG - US - 250625_03 - Angle3.2 (getbreezyac.com)";"0";"0.00 $"
"BB Cooling - Fallback - Homepage redirect (breezeboxcooling.com)";"0";"0.00 $"
"BreezyAC - Fallback - Homepage redirect (getbreezyac.com)";"0";"0.00 $"
